station,date,rain,avg_temp,delta_temp,max_temp,min_temp,radiation,max_trh,min_trh,avg_trh,,,
9021,1990/2/25,0,30.25,11.7,36.1,24.4,27.7,32.5,63.5,48,,,
9021,1990/2/26,0,30.65,13.5,37.4,23.9,25,28.4,61.4,44.9,,,
9021,1990/2/27,0,32.4,14.6,39.7,25.1,25,23.6,53.7,38.65,,,
9021,1990/2/28,0,27,9.8,31.9,22.1,23.7,52.7,93.6,73.15,,,
9021,1990/3/1,0.4,25.7,9.8,30.6,20.8,19.9,53.3,95.3,74.3,,,
9021,1990/3/2,0,25.3,9.8,30.2,20.4,19.9,45.2,81,63.1,,,
9021,1990/3/3,0,24.8,9.2,29.4,20.2,11.5,47.3,82,64.65,,,
9021,1990/3/4,0,27.25,7.9,31.2,23.3,6.9,48.4,76.9,62.65,,,
9021,1990/3/5,0.2,33.35,17.1,41.9,24.8,19.8,22.3,58.2,40.25,,,
9021,1990/3/6,0,27.35,4.7,29.7,25,7.6,63.3,83.4,73.35,,,
9021,1990/3/7,0.4,23.25,7.5,27,19.5,24.6,54.4,85.6,70,,,
9021,1990/3/8,0,21,13.6,27.8,14.2,21,35.1,80.9,58,,,
9021,1990/3/9,0,22.75,10.9,28.2,17.3,24.1,41.8,81.1,61.45,,,
9021,1990/3/10,0,25.25,12.3,31.4,19.1,21.7,37.2,77.4,57.3,,,
9021,1990/3/11,0,26.45,15.3,34.1,18.8,24.3,32,78.8,55.4,,,
9021,1990/3/12,29.8,24.3,7.4,28,20.6,15.3,61.9,96.5,79.2,,,
9021,1990/3/13,1.8,25.1,9.4,29.8,20.4,23.1,46.3,81,63.65,,,
9021,1990/3/14,0,22.95,9.3,27.6,18.3,23,40.6,71.4,56,,,
9021,1990/3/15,0,21.9,13.4,28.6,15.2,22.5,33.5,75.9,54.7,,,
9021,1990/3/16,0,21.5,13.6,28.3,14.7,24.3,34.1,78.4,56.25,,,
9021,1990/3/17,0,22.85,13.1,29.4,16.3,24,32,70.7,51.35,,,
9021,1990/3/18,0,28.45,16.7,36.8,20.1,21.4,24.2,63.8,44,,,
9021,1990/3/19,0,23.05,10.3,28.2,17.9,22,57.5,100,78.75,,,
9021,1990/3/20,0,21.1,11.8,27,15.2,22.9,48,99.1,73.55,,,
9021,1990/3/21,0,20.35,9.7,25.2,15.5,21.2,49.9,90.9,70.4,,,
9021,1990/3/22,0.2,20.15,9.9,25.1,15.2,16.7,57.1,100,78.55,,,
9021,1990/3/23,0,20.6,13,27.1,14.1,20.5,41.8,93.3,67.55,,,
9021,1990/3/24,0,21.95,15.7,29.8,14.1,22.5,33.4,87.1,60.25,,,
9021,1990/3/25,0,18.3,5.8,21.2,15.4,2.5,72.3,100,86.15,,,
9021,1990/3/26,26,13.8,9.2,18.4,9.2,16.3,58.1,100,79.05,,,
9021,1990/3/27,0,16.05,15.9,24,8.1,20.8,38.6,100,69.3,,,
9021,1990/3/28,0,20.55,16.5,28.8,12.3,22.5,29,80.4,54.7,,,
9021,1990/3/29,0,24.9,15.4,32.6,17.2,22,20.3,51,35.65,,,
9021,1990/3/30,0,24.9,8,28.9,20.9,4,23.6,38,30.8,,,
9021,1990/3/31,0,25.2,11.6,31,19.4,6.4,38.1,75.9,57,,,
9021,1990/4/1,0,25.25,8.3,29.4,21.1,7.8,32,52.4,42.2,,,
9021,1990/4/2,2.8,22.2,6.4,25.4,19,13.4,63.5,93.8,78.65,,,
9021,1990/4/3,0,18.55,9.5,23.3,13.8,9.7,59.8,100,79.9,,,
9021,1990/4/4,0.4,16.9,10.8,22.3,11.5,18.1,52,100,76,,,
9021,1990/4/5,0,15.9,11.6,21.7,10.1,18.5,36.2,76.1,56.15,,,
9021,1990/4/6,0,17.65,13.9,24.6,10.7,20.6,34.6,83.2,58.9,,,
9021,1990/4/7,0,20.95,12.5,27.2,14.7,20.7,29.7,64,46.85,,,
9021,1990/4/8,0,22.55,14.9,30,15.1,20.2,25.2,62.4,43.8,,,
9021,1990/4/9,0,24.85,10.7,30.2,19.5,11.4,28.7,54.3,41.5,,,
9021,1990/4/10,7,21.95,8.9,26.4,17.5,13.9,56.4,97.1,76.75,,,
9021,1990/4/11,18,20.2,7,23.7,16.7,15,62.1,95.8,78.95,,,
9021,1990/4/12,0,16.9,9,21.4,12.4,17.2,55,97.3,76.15,,,
9021,1990/4/13,0,14.7,11.4,20.4,9,16.8,41.7,87.2,64.45,,,
9021,1990/4/14,0,15.15,16.1,23.2,7.1,18.9,40.5,100,70.25,,,
9021,1990/4/15,0,17.9,12.2,24,11.8,17.6,41.2,88.9,65.05,,,
9021,1990/4/16,0,18.8,12.6,25.1,12.5,17.4,38.6,84.9,61.75,,,
9021,1990/4/17,0,20.6,11.2,26.2,15,18.4,33.8,67.5,50.65,,,
9021,1990/4/18,0,22.15,13.5,28.9,15.4,16.4,21.8,49.8,35.8,,,
9021,1990/4/19,0,23.4,6.4,26.6,20.2,1,19,27.9,23.45,,,
9021,1990/4/20,14.6,19.15,6.7,22.5,15.8,10.9,62.8,95.3,79.05,,,
9021,1990/4/21,0,20.8,12.6,27.1,14.5,16,47.7,100,73.85,,,
9021,1990/4/22,7.2,18.45,5.5,21.2,15.7,9.2,52.1,73.5,62.8,,,
9021,1990/4/23,2.4,18.65,8.5,22.9,14.4,11.7,50.2,85.4,67.8,,,
9021,1990/4/24,7.8,18.3,7.2,21.9,14.7,16.1,60.9,95.7,78.3,,,
9021,1990/4/25,0,18.05,14.7,25.4,10.7,13.5,37.9,95.7,66.8,,,
9021,1990/4/26,0.6,19.65,9.5,24.4,14.9,9.2,63.5,100,81.75,,,
9021,1990/4/27,4,17.95,9.3,22.6,13.3,12,62.4,100,81.2,,,
9021,1990/4/28,2.6,16.9,10,21.9,11.9,14.9,60.9,100,80.45,,,
9021,1990/4/29,0,15.1,14.4,22.3,7.9,15.5,52,100,76,,,
9021,1990/4/30,0.2,17.4,12,23.4,11.4,13,55.6,100,77.8,,,
9021,1990/5/1,2,18.9,8.6,23.2,14.6,13,68.2,100,84.1,,,
9021,1990/5/2,0,19.1,16.2,27.2,11,15.6,41.6,100,70.8,,,
9021,1990/5/3,0,17.25,9.9,22.2,12.3,6.8,63.9,100,81.95,,,
9021,1990/5/4,5,17.9,4.8,20.3,15.5,8.3,75.6,100,87.8,,,
9021,1990/5/5,0,14.7,10,19.7,9.7,14.8,50.1,95.6,72.85,,,
9021,1990/5/6,0,15.2,16,23.2,7.2,15.4,37.6,100,68.8,,,
9021,1990/5/7,0,15.75,13.5,22.5,9,14.9,51.4,100,75.7,,,
9021,1990/5/8,4.6,17.8,8.2,21.9,13.7,9.5,68.9,100,84.45,,,
9021,1990/5/9,0.2,15.15,10.7,20.5,9.8,10.1,58.1,100,79.05,,,
9021,1990/5/10,0,15.85,12.3,22,9.7,12.9,43.5,95.6,69.55,,,
9021,1990/5/11,0,16.25,13.5,23,9.5,12.7,53.4,100,76.7,,,
9021,1990/5/12,0,16.7,12,22.7,10.7,13.3,47.5,100,73.75,,,
9021,1990/5/13,0.6,16.45,8.1,20.5,12.4,8.7,58.1,97.3,77.7,,,
9021,1990/5/14,6.6,14.35,9.1,18.9,9.8,8.2,56.4,100,78.2,,,
9021,1990/5/15,2,16.35,9.7,21.2,11.5,12,59.6,100,79.8,,,
9021,1990/5/16,0,15.3,12.8,21.7,8.9,13.4,50.5,100,75.25,,,
9021,1990/5/17,0,15.05,8.5,19.3,10.8,7.9,67,100,83.5,,,
9021,1990/5/18,0.4,15.8,11.2,21.4,10.2,13.1,58.9,100,79.45,,,
9021,1990/5/19,0.4,17.15,11.5,22.9,11.4,10.6,50.2,100,75.1,,,
9021,1990/5/20,0,16.3,6.6,19.6,13,13,54,82.2,68.1,,,
9021,1990/5/21,0,16.05,10.5,21.3,10.8,12.7,48.6,95,71.8,,,
9021,1990/5/22,0,15,8.6,19.3,10.7,12.6,47.8,83.2,65.5,,,
9021,1990/5/23,0,14.4,11.6,20.2,8.6,13.5,39.7,84.2,61.95,,,
9021,1990/5/24,0,14.4,11.6,20.2,8.6,12.3,36.8,77.9,57.35,,,
9021,1990/5/25,0,17.45,11.1,23,11.9,9.9,35.6,71.8,53.7,,,
9021,1990/5/26,0.4,17.15,7.3,20.8,13.5,4.1,53.4,84.7,69.05,,,
9021,1990/5/27,3.6,16.9,7,20.4,13.4,6.8,71.4,100,85.7,,,
9021,1990/5/28,19.6,13.35,4.1,15.4,11.3,3.9,80.1,100,90.05,,,
9021,1990/5/29,14,12.35,10.5,17.6,7.1,12.6,55.7,100,77.85,,,
9021,1990/5/30,0,12.5,11,18,7,8.9,59.6,100,79.8,,,
9021,1990/5/31,0,13.1,12.2,19.2,7,13.1,45,99.9,72.45,,,
9021,1990/6/1,0,12.75,14.5,20,5.5,12.4,40.2,100,70.1,,,
9021,1990/6/2,0,12.7,15,20.2,5.2,13.3,39.7,100,69.85,,,
9021,1990/6/3,0,13.25,11.7,19.1,7.4,13.4,42.5,91.3,66.9,,,
9021,1990/6/4,0,13,14.8,20.4,5.6,13.2,33.8,89.1,61.45,,,
9021,1990/6/5,0,17.2,13.2,23.8,10.6,6.9,27.5,63.4,45.45,,,
9021,1990/6/6,22.6,15.95,5.7,18.8,13.1,11.9,73.3,100,86.65,,,
9021,1990/6/7,0,13.35,9.9,18.3,8.4,7.8,62.3,100,81.15,,,
9021,1990/6/8,14.4,14.65,5.1,17.2,12.1,7.6,71.4,99.2,85.3,,,
9021,1990/6/9,1.4,14.3,8.8,18.7,9.9,8.6,57.1,100,78.55,,,
9021,1990/6/10,2.4,15.35,7.1,18.9,11.8,4.1,73.3,100,86.65,,,
9021,1990/6/11,15.4,12.85,9.3,17.5,8.2,10.2,61.5,100,80.75,,,
9021,1990/6/12,1.4,12.15,7.3,15.8,8.5,6.4,73,100,86.5,,,
9021,1990/6/13,0.6,14.3,9.2,18.9,9.7,7.9,49,89,69,,,
9021,1990/6/14,12.2,12.3,6.4,15.5,9.1,7.3,74.4,100,87.2,,,
9021,1990/6/15,2.4,11.15,10.3,16.3,6,11.1,57.8,100,78.9,,,
9021,1990/6/16,0,10.9,12.2,17,4.8,10.4,51.6,100,75.8,,,
9021,1990/6/17,0,11.5,12.8,17.9,5.1,11.2,52.2,100,76.1,,,
9021,1990/6/18,0,12,11.2,17.6,6.4,12.7,49.7,100,74.85,,,
9021,1990/6/19,0,13.15,11.1,18.7,7.6,11.4,35.3,72.9,54.1,,,
9021,1990/6/20,0,12.9,12,18.9,6.9,11.7,39.9,87.5,63.7,,,
9021,1990/6/21,0,11.55,14.9,19,4.1,12.9,34.6,92.8,63.7,,,
9021,1990/6/22,0,10.45,15.9,18.4,2.5,11.3,35.9,100,67.95,,,
9021,1990/6/23,1.2,11.65,10.7,17,6.3,8.5,63,100,81.5,,,
9021,1990/6/24,0,8.35,13.9,15.3,1.4,11.6,46.6,100,73.3,,,
9021,1990/6/25,0,8.95,14.7,16.3,1.6,9.9,43.7,100,71.85,,,
9021,1990/6/26,0,9.35,12.7,15.7,3,12.6,48.8,100,74.4,,,
9021,1990/6/27,0,8.25,15.1,15.8,0.7,11.3,45.1,100,72.55,,,
9021,1990/6/28,0,8.35,15.5,16.1,0.6,11.5,44.3,100,72.15,,,
9021,1990/6/29,0,10.9,13.8,17.8,4,8.5,42.7,100,71.35,,,
9021,1990/6/30,2.8,6.95,14.5,14.2,-0.3,9.4,43.9,100,71.95,,,
9021,1990/7/1,0,8.25,15.1,15.8,0.7,10.9,45.1,100,72.55,,,
9021,1990/7/2,0,8.8,15.2,16.4,1.2,11.4,43.5,100,71.75,,,
9021,1990/7/3,0,9.45,15.7,17.3,1.6,11.5,44.1,100,72.05,,,
9021,1990/7/4,0,10.1,15.2,17.7,2.5,10.7,46.4,100,73.2,,,
9021,1990/7/5,0,10.4,10,15.4,5.4,7.8,53.8,100,76.9,,,
9021,1990/7/6,0,12.65,11.1,18.2,7.1,9.8,45,93.2,69.1,,,
9021,1990/7/7,0,13.6,11.4,19.3,7.9,12.9,38.9,81.7,60.3,,,
9021,1990/7/8,0,12.45,13.1,19,5.9,11.4,45.5,100,72.75,,,
9021,1990/7/9,0,14.25,14.3,21.4,7.1,9.8,45.1,100,72.55,,,
9021,1990/7/10,17.8,14.7,6.6,18,11.4,8.1,63.5,97.2,80.35,,,
9021,1990/7/11,4.4,12.25,11.5,18,6.5,8.8,59.6,100,79.8,,,
9021,1990/7/12,9.4,13.75,6.9,17.2,10.3,3.8,71.4,100,85.7,,,
9021,1990/7/13,15.4,12.15,9.7,17,7.3,10.4,59.4,100,79.7,,,
9021,1990/7/14,4.2,14.45,8.3,18.6,10.3,8.4,64.4,100,82.2,,,
9021,1990/7/15,14.8,14.5,5.8,17.4,11.6,7.9,70.5,100,85.25,,,
9021,1990/7/16,17.6,13.5,5.6,16.3,10.7,9.2,66.4,95.7,81.05,,,
9021,1990/7/17,5.2,12.95,5.1,15.5,10.4,10.1,56.8,79.3,68.05,,,
9021,1990/7/18,0,12.05,7.9,16,8.1,4.2,58.9,99.1,79,,,
9021,1990/7/19,0.4,14.85,8.5,19.1,10.6,6.2,59.3,100,79.65,,,
9021,1990/7/20,1.8,15.1,8,19.1,11.1,7.3,63.4,100,81.7,,,
9021,1990/7/21,5.4,15.45,3.7,17.3,13.6,5,54.2,68.7,61.45,,,
9021,1990/7/22,5.6,14.55,4.5,16.8,12.3,5.4,60.1,80.4,70.25,,,
9021,1990/7/23,12.6,11.25,3.9,13.2,9.3,8.6,62,80.3,71.15,,,
9021,1990/7/24,10.2,10.15,7.5,13.9,6.4,7.8,63,100,81.5,,,
9021,1990/7/25,12,8.2,11.2,13.8,2.6,13.5,55.2,100,77.6,,,
9021,1990/7/26,0,7.95,13.1,14.5,1.4,13.3,46.1,100,73.05,,,
9021,1990/7/27,0,9.35,12.5,15.6,3.1,13,42.9,99.6,71.25,,,
9021,1990/7/28,0,9.95,14.3,17.1,2.8,13.6,39,100,69.5,,,
9021,1990/7/29,1.4,11,12,17,5,9.1,55.3,100,77.65,,,
9021,1990/7/30,0.2,11.85,9.7,16.7,7,13.4,49.5,93.9,71.7,,,
9021,1990/7/31,0,13.15,11.5,18.9,7.4,14.1,34.8,73.9,54.35,,,
9021,1990/8/1,0,15.3,13,21.8,8.8,8,23.4,53.9,38.65,,,
9021,1990/8/2,21.6,15.85,3.5,17.6,14.1,6.8,61.2,76.5,68.85,,,
9021,1990/8/3,5.8,14,4.2,16.1,11.9,8.1,62.9,82.6,72.75,,,
9021,1990/8/4,8,13.35,4.5,15.6,11.1,11,64.9,87.1,76,,,
9021,1990/8/5,2.6,12,6.8,15.4,8.6,11.5,70.3,100,85.15,,,
9021,1990/8/6,0,12.25,8.5,16.5,8,10.5,57,99.8,78.4,,,
9021,1990/8/7,5.6,12.5,7.2,16.1,8.9,12.4,58.5,93.9,76.2,,,
9021,1990/8/8,0,9.8,12.2,15.9,3.7,14.9,44.9,100,72.45,,,
9021,1990/8/9,0,11.6,11.6,17.4,5.8,13.1,38.3,82.5,60.4,,,
9021,1990/8/10,3.2,12.5,7.8,16.4,8.6,11.8,61.7,100,80.85,,,
9021,1990/8/11,0.6,14.35,4.1,16.4,12.3,10.5,57.4,74.8,66.1,,,
9021,1990/8/12,0.8,14.05,7.1,17.6,10.5,11.2,61.2,96.9,79.05,,,
9021,1990/8/13,4.2,12.15,6.1,15.2,9.1,10.5,71.3,100,85.65,,,
9021,1990/8/14,1.2,13.35,8.7,17.7,9,15.7,64.7,100,82.35,,,
9021,1990/8/15,0,11.35,11.7,17.2,5.5,16.8,41.3,89.7,65.5,,,
9021,1990/8/16,0,11.95,4.5,14.2,9.7,7.6,58.1,78.2,68.15,,,
9021,1990/8/17,0.4,12.05,12.3,18.2,5.9,14.3,58.9,100,79.45,,,
9021,1990/8/18,12,14.35,4.5,16.6,12.1,14.2,49.8,66.6,58.2,,,
9021,1990/8/19,6.2,12.25,5.7,15.1,9.4,10.7,71.7,100,85.85,,,
9021,1990/8/20,1.2,10.35,12.1,16.4,4.3,13.2,50.4,100,75.2,,,
9021,1990/8/21,0,11.05,8.1,15.1,7,14.1,54.8,93.9,74.35,,,
9021,1990/8/22,0,11.8,10.4,17,6.6,17,39.2,78,58.6,,,
9021,1990/8/23,0,11.1,14.6,18.4,3.8,16.7,50.6,100,75.3,,,
9021,1990/8/24,0,14.55,9.9,19.5,9.6,16.9,41.5,78.7,60.1,,,
9021,1990/8/25,0,13.9,7.6,17.7,10.1,11.1,52.9,86.6,69.75,,,
9021,1990/8/26,0,14.6,7.2,18.2,11,7,58.9,93.8,76.35,,,
9021,1990/8/27,2.2,13.9,8.6,18.2,9.6,9.2,67,100,83.5,,,
9021,1990/8/28,5.2,13.25,5.1,15.8,10.7,8.7,59.6,83.2,71.4,,,
9021,1990/8/29,2.8,12.4,7.8,16.3,8.5,7.7,70.7,100,85.35,,,
9021,1990/8/30,4.4,12.45,11.1,18,6.9,14.4,59.6,100,79.8,,,
9021,1990/8/31,0,12.1,13,18.6,5.6,15,53.7,100,76.85,,,
9021,1990/9/1,0,14,8.8,18.4,9.6,8.4,61.9,100,80.95,,,
9021,1990/9/2,0,14.2,13.8,21.1,7.3,16.2,52.4,100,76.2,,,
9021,1990/9/3,0,17.9,13.8,24.8,11,19.1,36.7,87.7,62.2,,,
9021,1990/9/4,0,19.05,14.7,26.4,11.7,19.4,31.1,77.9,54.5,,,
9021,1990/9/5,0,17.35,16.7,25.7,9,19.6,32.4,93.3,62.85,,,
9021,1990/9/6,0,17.35,20.7,27.7,7,20.4,26.9,99.9,63.4,,,
9021,1990/9/7,6.4,16.35,4.3,18.5,14.2,6.9,70.5,92.7,81.6,,,
9021,1990/9/8,0.2,12.6,8.6,16.9,8.3,7.4,55.6,97.8,76.7,,,
9021,1990/9/9,2.8,14.95,7.1,18.5,11.4,12.1,70.5,100,85.25,,,
9021,1990/9/10,13.4,10.7,9.6,15.5,5.9,20.9,46,87.3,66.65,,,
9021,1990/9/11,0,10.7,13.2,17.3,4.1,20.7,44.1,100,72.05,,,
9021,1990/9/12,0,13.3,16.6,21.6,5,20.8,38.8,100,69.4,,,
9021,1990/9/13,0,17.15,13.1,23.7,10.6,21.1,34.1,78.3,56.2,,,
9021,1990/9/14,0,19.6,13.2,26.2,13,20.3,27.6,62.8,45.2,,,
9021,1990/9/15,0.2,17.15,5.1,19.7,14.6,10.8,46.6,64.4,55.5,,,
9021,1990/9/16,2,13.85,11.9,19.8,7.9,13.9,60.7,100,80.35,,,
9021,1990/9/17,2,15.25,7.9,19.2,11.3,10.8,76.9,100,88.45,,,
9021,1990/9/18,4,13.55,5.1,16.1,11,13.5,67.3,93.8,80.55,,,
9021,1990/9/19,0.8,14.95,5.1,17.5,12.4,10.9,57.5,79.9,68.7,,,
9021,1990/9/20,3.8,12,8.2,16.1,7.9,17,47.6,81.7,64.65,,,
9021,1990/9/21,0,12.05,14.9,19.5,4.6,23.2,44.1,100,72.05,,,
9021,1990/9/22,0,13.6,12.4,19.8,7.4,8.3,53.3,100,76.65,,,
9021,1990/9/23,8.4,13.45,12.9,19.9,7,10.9,53,100,76.5,,,
9021,1990/9/24,10.6,13.15,4.5,15.4,10.9,13.7,53.8,72.1,62.95,,,
9021,1990/9/25,1.6,13.85,9.7,18.7,9,18.6,65,100,82.5,,,
9021,1990/9/26,0,13.9,15,21.4,6.4,22.9,51.4,100,75.7,,,
9021,1990/9/27,0,16.7,17.6,25.5,7.9,23.9,40.2,100,70.1,,,
9021,1990/9/28,0,20.9,16.6,29.2,12.6,24.5,28.4,78.9,53.65,,,
9021,1990/9/29,0,21.15,14.9,28.6,13.7,13.5,27.3,68.3,47.8,,,
9021,1990/9/30,0,19.25,14.7,26.6,11.9,22.8,46,100,73,,,
9021,1990/10/1,0,18.1,8.2,22.2,14,21.3,52.3,87.6,69.95,,,
9021,1990/10/2,0,19.35,7.3,23,15.7,13.6,53.4,84.1,68.75,,,
9021,1990/10/3,0,16.7,10,21.7,11.7,20.7,50.5,95.3,72.9,,,
9021,1990/10/4,0,17.2,9,21.7,12.7,19.7,47.4,83.8,65.6,,,
9021,1990/10/5,0,15.75,7.7,19.6,11.9,17.5,46.9,76.8,61.85,,,
9021,1990/10/6,0.2,14.85,4.7,17.2,12.5,12.1,54.6,73.9,64.25,,,
9021,1990/10/7,0,14.7,9,19.2,10.2,8.9,58.9,100,79.45,,,
9021,1990/10/8,0,14.5,13.8,21.4,7.6,23.1,55,100,77.5,,,
9021,1990/10/9,2.2,14.9,10.4,20.1,9.7,8.8,70.2,100,85.1,,,
9021,1990/10/10,2.8,16.1,7.6,19.9,12.3,18.4,64.6,100,82.3,,,
9021,1990/10/11,0,14.5,13,21,8,23.8,56.3,100,78.15,,,
9021,1990/10/12,0,15.05,10.7,20.4,9.7,14.2,48,95.6,71.8,,,
9021,1990/10/13,15.6,13.3,8.2,17.4,9.2,11.4,53.9,92,72.95,,,
9021,1990/10/14,5.2,13.3,7.8,17.2,9.4,11.4,51,84.8,67.9,,,
9021,1990/10/15,0,13.45,14.1,20.5,6.4,23.5,47.7,100,73.85,,,
9021,1990/10/16,0,13.45,13.7,20.3,6.6,25,51.7,100,75.85,,,
9021,1990/10/17,2.4,12.9,9.6,17.7,8.1,20.4,52.9,99.1,76,,,
9021,1990/10/18,0,12.7,11.4,18.4,7,21.5,50.6,100,75.3,,,
9021,1990/10/19,0,12.95,12.5,19.2,6.7,21.1,48.1,100,74.05,,,
9021,1990/10/20,0,14.45,13.9,21.4,7.5,27.5,48.3,100,74.15,,,
9021,1990/10/21,0,19.8,18.8,29.2,10.4,26.2,37,100,68.5,,,
9021,1990/10/22,0,21.5,17.8,30.4,12.6,28.2,28.3,84.4,56.35,,,
9021,1990/10/23,0,23.5,17,32,15,28.3,33.7,93.9,63.8,,,
9021,1990/10/24,0,17.1,9.2,21.7,12.5,20.8,57.8,100,78.9,,,
9021,1990/10/25,0,17.25,9.5,22,12.5,21.9,56.8,100,78.4,,,
9021,1990/10/26,1,15.35,6.3,18.5,12.2,23.3,47,70.4,58.7,,,
9021,1990/10/27,0,13.9,13,20.4,7.4,21.6,36.3,84.5,60.4,,,
9021,1990/10/28,0,15.15,8.5,19.4,10.9,20.6,51.1,88.3,69.7,,,
9021,1990/10/29,15,13.9,7.8,17.8,10,19.3,56.5,93.7,75.1,,,
9021,1990/10/30,4.4,15.6,7.6,19.4,11.8,22.7,71.1,100,85.55,,,
9021,1990/10/31,0,15.6,8.4,19.8,11.4,9.3,60.7,100,80.35,,,
9021,1990/11/1,0,17.8,6.8,21.2,14.4,8.2,68,100,84,,,
