station,date,rain,avg_temp,delta_temp,max_temp,min_temp,radiation,max_trh,min_trh,avg_trh,,,,
94030,1990/3/2,0,17.35,11.3,23,11.7,19.6,51.6,100,75.8,,,,
94030,1990/3/3,0,18.3,12,24.3,12.3,22.9,52,100,76,,,,
94030,1990/3/4,0,19.8,12.4,26,13.6,18.9,49.4,100,74.7,,,,
94030,1990/3/5,1.4,19.6,8.2,23.7,15.5,11,61.1,100,80.55,,,,
94030,1990/3/6,0,13.25,5.7,16.1,10.4,15.4,55.8,80.9,68.35,,,,
94030,1990/3/7,1.6,12.35,11.7,18.2,6.5,20.2,45.5,98.2,71.85,,,,
94030,1990/3/8,0,18.95,19.5,28.7,9.2,18,24.6,83.4,54,,,,
94030,1990/3/9,0,18.2,11.2,23.8,12.6,18.9,37.3,75.4,56.35,,,,
94030,1990/3/10,0,16.75,5.7,19.6,13.9,9.6,43.4,62.4,52.9,,,,
94030,1990/3/11,3.4,13.25,5.3,15.9,10.6,11.5,59.8,84.6,72.2,,,,
94030,1990/3/12,3.2,11.55,7.9,15.5,7.6,15.7,48.9,82.4,65.65,,,,
94030,1990/3/13,0,13.45,16.7,21.8,5.1,19.1,37.2,100,68.6,,,,
94030,1990/3/14,0,15.8,16.8,24.2,7.4,8.9,37.4,100,68.7,,,,
94030,1990/3/15,0,14.4,5.2,17,11.8,19.4,47,65.8,56.4,,,,
94030,1990/3/16,0,14.2,15.2,21.8,6.6,21.4,33.3,89.3,61.3,,,,
94030,1990/3/17,0,14.85,14.3,22,7.7,13.8,39.7,100,69.85,,,,
94030,1990/3/18,0,14.25,7.1,17.8,10.7,9.2,51.1,80.9,66,,,,
94030,1990/3/19,0,15.3,11.4,21,9.6,20.2,43.8,91.2,67.5,,,,
94030,1990/3/20,0,14.05,10.9,19.5,8.6,18.9,46.8,94.9,70.85,,,,
94030,1990/3/21,0,15.3,11.6,21.1,9.5,15,49.2,100,74.6,,,,
94030,1990/3/22,0,19.7,12.4,25.9,13.5,18.6,42.5,91.8,67.15,,,,
94030,1990/3/23,0,19.25,15.3,26.9,11.6,19.5,36.7,95.2,65.95,,,,
94030,1990/3/24,0,19,15.4,26.7,11.3,19.1,43.7,100,71.85,,,,
94030,1990/3/25,0,20.75,16.7,29.1,12.4,18.5,39.5,100,69.75,,,,
94030,1990/3/26,0,20.9,19,30.4,11.4,18.9,35.5,100,67.75,,,,
94030,1990/3/27,0,24.45,15.7,32.3,16.6,17.8,31.4,80.5,55.95,,,,
94030,1990/3/28,3.2,17.8,5.2,20.4,15.2,12.7,48.4,67.2,57.8,,,,
94030,1990/3/29,0,15.6,8.4,19.8,11.4,11.7,40.3,69,54.65,,,,
94030,1990/3/30,0,15.3,11.6,21.1,9.5,17.9,39.2,82.6,60.9,,,,
94030,1990/3/31,0,14.6,13.6,21.4,7.8,15.1,44.7,100,72.35,,,,
94030,1990/4/1,0,15.95,6.7,19.3,12.6,14.3,37.1,56.9,47,,,,
94030,1990/4/2,0,12.95,10.7,18.3,7.6,12.9,44.7,90.1,67.4,,,,
94030,1990/4/3,0,12.5,13.4,19.2,5.8,16.1,45,100,72.5,,,,
94030,1990/4/4,0,16,17.4,24.7,7.3,15.8,36.3,100,68.15,,,,
94030,1990/4/5,0,18.7,16.4,26.9,10.5,16.3,35.8,100,67.9,,,,
94030,1990/4/6,20.6,20.95,11.9,26.9,15,14.1,51.4,100,75.7,,,,
94030,1990/4/7,0,11.25,8.5,15.5,7,12.9,46.6,81.9,64.25,,,,
94030,1990/4/8,0,11,12.4,17.2,4.8,12.6,48.4,100,74.2,,,,
94030,1990/4/9,0,12.85,13.3,19.5,6.2,13.7,45.5,100,72.75,,,,
94030,1990/4/10,0,13.65,14.7,21,6.3,13.9,45.9,100,72.95,,,,
94030,1990/4/11,0,16.1,6.6,19.4,12.8,2.3,65.3,99.5,82.4,,,,
94030,1990/4/12,5.2,17.85,6.9,21.3,14.4,9.1,73.5,100,86.75,,,,
94030,1990/4/13,3.6,19.1,13.8,26,12.2,12.9,39.9,94.4,67.15,,,,
94030,1990/4/14,1.8,18.1,5.8,21,15.2,9.2,67.6,97.3,82.45,,,,
94030,1990/4/15,0,11.95,6.5,15.2,8.7,10.1,52.1,80.1,66.1,,,,
94030,1990/4/16,0,13.15,11.3,18.8,7.5,13.5,45.2,94.6,69.9,,,,
94030,1990/4/17,0,16.1,8.6,20.4,11.8,11.9,47.2,81.7,64.45,,,,
94030,1990/4/18,0,13.3,6.4,16.5,10.1,9.4,59.2,89.9,74.55,,,,
94030,1990/4/19,0,11.6,11.2,17.2,6,13.3,51.5,100,75.75,,,,
94030,1990/4/20,0,12.25,10.3,17.4,7.1,9.3,49.8,98.2,74,,,,
94030,1990/4/21,3,11.3,3.8,13.2,9.4,2.6,64.6,83.1,73.85,,,,
94030,1990/4/22,0.8,12.6,5,15.1,10.1,4.3,76.4,100,88.2,,,,
94030,1990/4/23,1,13.8,6.2,16.9,10.7,6,72.2,100,86.1,,,,
94030,1990/4/24,0,13.15,8.1,17.2,9.1,11.8,62.2,100,81.1,,,,
94030,1990/4/25,0.3,13.75,8.5,18,9.5,6.9,59.1,100,79.55,,,,
94030,1990/4/26,1.2,11.55,3.5,13.3,9.8,6.9,64.2,80.9,72.55,,,,
94030,1990/4/27,0,11,9.2,15.6,6.4,10.9,51.4,94.7,73.05,,,,
94030,1990/4/28,0,12.4,6.2,15.5,9.3,3.4,54.5,82,68.25,,,,
94030,1990/4/29,5.8,12.1,4.8,14.5,9.7,5.3,57.6,79,68.3,,,,
94030,1990/4/30,1.2,11.65,8.1,15.7,7.6,5.8,50.5,86.3,68.4,,,,
94030,1990/5/1,2.8,16.15,10.3,21.3,11,7.2,50.2,96.8,73.5,,,,
94030,1990/5/2,5.8,13.6,5.2,16.2,11,9.1,46.2,64.8,55.5,,,,
94030,1990/5/3,1.2,12.75,9.1,17.3,8.2,4.7,45.6,82.8,64.2,,,,
94030,1990/5/4,0,18,11.4,23.7,12.3,4,33.5,68.6,51.05,,,,
94030,1990/5/5,3,15.1,4.6,17.4,12.8,7.7,54.9,73.8,64.35,,,,
94030,1990/5/6,0.4,11.8,5,14.3,9.3,9.5,43,59.8,51.4,,,,
94030,1990/5/7,0,12.2,6.8,15.6,8.8,6.2,48,75.1,61.55,,,,
94030,1990/5/8,0,12.85,6.5,16.1,9.6,6.4,55.2,84.5,69.85,,,,
94030,1990/5/9,2,13.7,12.2,19.8,7.6,6.1,41.6,92,66.8,,,,
94030,1990/5/10,0,14.35,7.5,18.1,10.6,8.9,44.8,72.8,58.8,,,,
94030,1990/5/11,0,12.55,4.1,14.6,10.5,3.3,64.4,84.3,74.35,,,,
94030,1990/5/12,0,12.35,7.3,16,8.7,6,60,97,78.5,,,,
94030,1990/5/13,2.6,7.5,5,10,5,6.6,51.3,72.3,61.8,,,,
94030,1990/5/14,0.4,7.1,6,10.1,4.1,6.3,58.3,88,73.15,,,,
94030,1990/5/15,0.4,6.15,10.1,11.2,1.1,9.4,48.9,98.3,73.6,,,,
94030,1990/5/16,0,6.45,13.1,13,-0.1,8.9,40.8,100,70.4,,,,
94030,1990/5/17,2.4,8.85,13.7,15.7,2,3.5,60.6,100,80.3,,,,
94030,1990/5/18,0.2,7.65,7.7,11.5,3.8,6.1,59,99.8,79.4,,,,
94030,1990/5/19,0,8.85,7.1,12.4,5.3,4.8,57,92.1,74.55,,,,
94030,1990/5/20,2.8,8.55,9.1,13.1,4,6.6,50.4,93.5,71.95,,,,
94030,1990/5/21,0,9.7,12.8,16.1,3.3,7.3,45.9,100,72.95,,,,
94030,1990/5/22,0.2,9.3,8,13.3,5.3,7.8,47.8,82,64.9,,,,
94030,1990/5/23,0,9.3,6,12.3,6.3,4.2,66.5,99.6,83.05,,,,
94030,1990/5/24,0,7.55,13.7,14.4,0.7,5.7,50,100,75,,,,
94030,1990/5/25,0,9.35,12.1,15.4,3.3,6.6,49.8,100,74.9,,,,
94030,1990/5/26,0,12.25,8.5,16.5,8,6.7,58.1,100,79.05,,,,
94030,1990/5/27,0,11.65,8.7,16,7.3,6.4,53.9,95.9,74.9,,,,
94030,1990/5/28,0,11.45,13.1,18,4.9,5.6,45.1,100,72.55,,,,
94030,1990/5/29,0,9.7,12,15.7,3.7,7.5,49.4,100,74.7,,,,
94030,1990/5/30,0,6.5,6.4,9.7,3.3,5.2,67.4,100,83.7,,,,
94030,1990/5/31,0,8,7.8,11.9,4.1,2.7,62.5,100,81.25,,,,
94030,1990/6/1,0,9.4,5.8,12.3,6.5,1.9,69.3,100,84.65,,,,
94030,1990/6/2,0,10.65,5.9,13.6,7.7,7.6,48.2,71.4,59.8,,,,
94030,1990/6/3,0,9.55,9.9,14.5,4.6,4.4,52.7,100,76.35,,,,
94030,1990/6/4,0,9.75,3.9,11.7,7.8,5.4,68.4,88.9,78.65,,,,
94030,1990/6/5,0,8.45,12.9,14.9,2,6.3,44.9,100,72.45,,,,
94030,1990/6/6,0,6.25,12.1,12.3,0.2,6.9,53.9,100,76.95,,,,
94030,1990/6/7,0,6.45,11.3,12.1,0.8,6.8,51,100,75.5,,,,
94030,1990/6/8,0,8.7,13.6,15.5,1.9,5.9,45.5,100,72.75,,,,
94030,1990/6/9,0,9.7,14.4,16.9,2.5,4.6,53.5,100,76.75,,,,
94030,1990/6/10,0.6,12.95,5.7,15.8,10.1,6.1,57.4,83.4,70.4,,,,
94030,1990/6/11,0,8.35,11.7,14.2,2.5,7.9,43.9,97.1,70.5,,,,
94030,1990/6/12,0,7,10.4,12.2,1.8,5.9,50.7,100,75.35,,,,
94030,1990/6/13,0,8.1,10.2,13.2,3,5.7,64,100,82,,,,
94030,1990/6/14,0,11.35,9.5,16.1,6.6,4.4,53.6,100,76.8,,,,
94030,1990/6/15,0,10.35,8.5,14.6,6.1,2.7,54.2,95.6,74.9,,,,
94030,1990/6/16,0,11.5,4.6,13.8,9.2,1.2,53.3,72.2,62.75,,,,
94030,1990/6/17,0.2,5.65,5.3,8.3,3,5.5,55.8,80.5,68.15,,,,
94030,1990/6/18,0,8.25,7.7,12.1,4.4,6.1,53.2,89.7,71.45,,,,
94030,1990/6/19,0,8,10,13,3,5.1,51.4,100,75.7,,,,
94030,1990/6/20,0.2,10.45,9.7,15.3,5.6,4,53.5,100,76.75,,,,
94030,1990/6/21,13.6,9,7.4,12.7,5.3,6,46.3,76.4,61.35,,,,
94030,1990/6/22,0,11.35,9.1,15.9,6.8,3.5,57,100,78.5,,,,
94030,1990/6/23,0.2,11.7,4.6,14,9.4,3.2,59.5,80.6,70.05,,,,
94030,1990/6/24,0,10.95,5.5,13.7,8.2,2.6,46.6,67.2,56.9,,,,
94030,1990/6/25,1.6,7.05,2.1,8.1,6,1.1,80.6,93.1,86.85,,,,
94030,1990/6/26,0,6.7,9.4,11.4,2,6.6,52.7,100,76.35,,,,
94030,1990/6/27,0,3.65,4.7,6,1.3,1.3,65.3,90.9,78.1,,,,
94030,1990/6/28,4.6,5.15,6.9,8.6,1.7,4.7,51,82.6,66.8,,,,
94030,1990/6/29,0,7.4,10,12.4,2.4,3.7,51.4,100,75.7,,,,
94030,1990/6/30,0,9.4,10.6,14.7,4.1,4.5,50.9,100,75.45,,,,
94030,1990/7/1,12.2,8.15,4.7,10.5,5.8,2.7,64.6,89,76.8,,,,
94030,1990/7/2,58.2,8.45,5.3,11.1,5.8,1,75,100,87.5,,,,
94030,1990/7/3,0.2,8.95,3.7,10.8,7.1,4.1,48.7,62.5,55.6,,,,
94030,1990/7/4,4.6,8.9,8.8,13.3,4.5,4.6,47.8,86.7,67.25,,,,
94030,1990/7/5,0.4,5.8,5,8.3,3.3,7.2,58.5,82.7,70.6,,,,
94030,1990/7/6,13,5.45,8.7,9.8,1.1,5.1,45.4,83.2,64.3,,,,
94030,1990/7/7,26,6.05,7.7,9.9,2.2,5.9,51.7,88,69.85,,,,
94030,1990/7/8,4.1,8.5,6.8,11.9,5.1,4.1,62.5,99.1,80.8,,,,
94030,1990/7/9,0.6,7.55,3.9,9.5,5.6,3.6,65.7,85.8,75.75,,,,
94030,1990/7/10,0.2,5.25,8.7,9.6,0.9,6.6,53.6,98.2,75.9,,,,
94030,1990/7/11,0,4.05,10.3,9.2,-1.1,6.6,50.7,100,75.35,,,,
94030,1990/7/12,0.2,4.05,9.9,9,-0.9,5.9,50.6,100,75.3,,,,
94030,1990/7/13,0,5.55,10.3,10.7,0.4,5.3,52.9,100,76.45,,,,
94030,1990/7/14,0.6,8.75,11.1,14.3,3.2,6.1,48.5,100,74.25,,,,
94030,1990/7/15,0,6.85,6.3,10,3.7,2.4,67.6,100,83.8,,,,
94030,1990/7/16,0.8,9.5,10.8,14.9,4.1,6.2,50.8,100,75.4,,,,
94030,1990/7/17,0,10.6,10.8,16,5.2,6.6,53.4,100,76.7,,,,
94030,1990/7/18,0,10,6.4,13.2,6.8,2.3,71.9,100,85.95,,,,
94030,1990/7/19,5.6,8.25,7.3,11.9,4.6,7.2,51.7,84.9,68.3,,,,
94030,1990/7/20,0,8,10.6,13.3,2.7,2.8,49.1,100,74.55,,,,
94030,1990/7/21,0,9.4,7.6,13.2,5.6,6.3,54.1,90.2,72.15,,,,
94030,1990/7/22,0,7.65,11.1,13.2,2.1,2.9,48.8,100,74.4,,,,
94030,1990/7/23,0,11.35,11.5,17.1,5.6,7.1,48.7,100,74.35,,,,
94030,1990/7/24,0.4,11.9,10.8,17.3,6.5,5,47.6,97.2,72.4,,,,
94030,1990/7/25,3.4,8.7,8.8,13.1,4.3,6.4,49.8,90.3,70.05,,,,
94030,1990/7/26,0,7.7,6,10.7,4.7,5,57.5,86.7,72.1,,,,
94030,1990/7/27,0,8.45,10.5,13.7,3.2,6.3,47.9,97.6,72.75,,,,
94030,1990/7/28,0,8.1,8.4,12.3,3.9,6.8,49,86.7,67.85,,,,
94030,1990/7/29,0,9.3,10.2,14.4,4.2,7.4,48.8,97,72.9,,,,
94030,1990/7/30,0,8.6,10.2,13.7,3.5,7.3,48.5,96.9,72.7,,,,
94030,1990/7/31,1,7.65,4.9,10.1,5.2,3.4,73.7,100,86.85,,,,
94030,1990/8/1,0,7.15,6.9,10.6,3.7,6.7,64.2,100,82.1,,,,
94030,1990/8/2,0,6.8,9,11.3,2.3,8.5,51.6,95.7,73.65,,,,
94030,1990/8/3,0,7.25,8.9,11.7,2.8,4.4,54.6,100,77.3,,,,
94030,1990/8/4,8.2,9.6,10.4,14.8,4.4,6.9,52.9,100,76.45,,,,
94030,1990/8/5,7.6,7.5,4.6,9.8,5.2,3.1,78.5,100,89.25,,,,
94030,1990/8/6,5.4,8.25,3.5,10,6.5,5.6,76.6,97.2,86.9,,,,
94030,1990/8/7,2.8,6.25,8.9,10.7,1.8,7.3,55.2,100,77.6,,,,
94030,1990/8/8,14.2,6.3,10.2,11.4,1.2,8.2,51.2,100,75.6,,,,
94030,1990/8/9,0,6.55,7.9,10.5,2.6,5.3,56,96.4,76.2,,,,
94030,1990/8/10,0,7.05,4.7,9.4,4.7,3.2,73,100,86.5,,,,
94030,1990/8/11,7,7.4,8.8,11.8,3,9.6,52.8,96.4,74.6,,,,
94030,1990/8/12,0.2,6.35,9.7,11.2,1.5,6.7,49.6,97,73.3,,,,
94030,1990/8/13,0,8.05,10.7,13.4,2.7,10.2,47.5,98.5,73,,,,
94030,1990/8/14,0,8.3,10.8,13.7,2.9,7.9,48.5,100,74.25,,,,
94030,1990/8/15,0,7.85,9.3,12.5,3.2,9.1,51.8,97.6,74.7,,,,
94030,1990/8/16,0.8,8.25,6.7,11.6,4.9,7.5,67.4,100,83.7,,,,
94030,1990/8/17,0,6.75,7.5,10.5,3,10,53.6,89.8,71.7,,,,
94030,1990/8/18,0,6.3,8.8,10.7,1.9,11,49,90,69.5,,,,
94030,1990/8/19,0,8.85,11.5,14.6,3.1,7.9,44.6,97,70.8,,,,
94030,1990/8/20,3,11.45,10.9,16.9,6,9.7,52.5,100,76.25,,,,
94030,1990/8/21,0,10.4,7.2,14,6.8,8.6,57,92.1,74.55,,,,
94030,1990/8/22,1.2,5.8,10.2,10.9,0.7,9,48.3,98.1,73.2,,,,
94030,1990/8/23,8.4,7.45,8.3,11.6,3.3,11.5,50.5,89.2,69.85,,,,
94030,1990/8/24,1.2,5.55,4.9,8,3.1,11.1,53.2,74.7,63.95,,,,
94030,1990/8/25,1.8,4.3,5.6,7.1,1.5,6,57.5,85.2,71.35,,,,
94030,1990/8/26,7.4,7.15,8.1,11.2,3.1,9.9,46.6,81.3,63.95,,,,
94030,1990/8/27,0,7.5,12,13.5,1.5,13.3,45.9,100,72.95,,,,
94030,1990/8/28,0,9.35,14.9,16.8,1.9,12.8,38.7,100,69.35,,,,
94030,1990/8/29,0,11.75,10.5,17,6.5,5.9,44.4,88.9,66.65,,,,
94030,1990/8/30,2.2,10.35,7.5,14.1,6.6,8.9,49.8,82.1,65.95,,,,
94030,1990/8/31,1.2,7.85,11.1,13.4,2.3,12,48.8,100,74.4,,,,
94030,1990/9/1,0,9.05,10.9,14.5,3.6,9.9,46.7,97.4,72.05,,,,
94030,1990/9/2,0,10.9,6.4,14.1,7.7,8.2,50.4,77.1,63.75,,,,
94030,1990/9/3,1,7.55,7.3,11.2,3.9,10.8,46.6,76.8,61.7,,,,
94030,1990/9/4,0,10.5,11.2,16.1,4.9,11.4,43.2,91.3,67.25,,,,
94030,1990/9/5,0,12.45,7.1,16,8.9,8,52.3,83.4,67.85,,,,
94030,1990/9/6,4.6,6.1,9.6,10.9,1.3,14.8,53,100,76.5,,,,
94030,1990/9/7,0,6.65,8.5,10.9,2.4,11.5,54.5,97.8,76.15,,,,
94030,1990/9/8,0,7.5,12.2,13.6,1.4,15.5,43,99.2,71.1,,,,
94030,1990/9/9,0,9.95,15.5,17.7,2.2,16.4,38,100,69,,,,
94030,1990/9/10,0,13.25,14.5,20.5,6,14.6,36.9,95.2,66.05,,,,
94030,1990/9/11,0,16.4,12.4,22.6,10.2,12.1,42.3,93.3,67.8,,,,
94030,1990/9/12,1.4,13.3,5.8,16.2,10.4,10.3,62.5,91.2,76.85,,,,
94030,1990/9/13,0.4,8.05,6.7,11.4,4.7,11.4,50.5,79.6,65.05,,,,
94030,1990/9/14,0,8.55,14.1,15.6,1.5,15.5,41.2,100,70.6,,,,
94030,1990/9/15,0.3,8.9,5,11.4,6.4,11.7,60.1,84.3,72.2,,,,
94030,1990/9/16,0,8.5,8.8,12.9,4.1,14.2,41,74.5,57.75,,,,
94030,1990/9/17,0,8.95,11.3,14.6,3.3,17.3,47,100,73.5,,,,
94030,1990/9/18,0,11.5,15,19,4,18.3,37.8,100,68.9,,,,
94030,1990/9/19,0,16.1,11.6,21.9,10.3,12.6,36.5,76.7,56.6,,,,
94030,1990/9/20,0,15.35,12.9,21.8,8.9,16.2,32.6,74.6,53.6,,,,
94030,1990/9/21,9,11.35,6.7,14.7,8,10.1,51.4,80.2,65.8,,,,
94030,1990/9/22,0,11.85,8.9,16.3,7.4,15.9,47.5,85.5,66.5,,,,
94030,1990/9/23,0.1,10.15,12.7,16.5,3.8,19,46.9,100,73.45,,,,
94030,1990/9/24,0,13.2,14,20.2,6.2,11.8,36.8,91.8,64.3,,,,
94030,1990/9/25,0.4,15,11.8,20.9,9.1,8.3,50.2,100,75.1,,,,
94030,1990/9/26,2.2,10.3,5.8,13.2,7.4,10.4,52.8,77.7,65.25,,,,
94030,1990/9/27,2,10.15,11.1,15.7,4.6,13.2,41.5,87.3,64.4,,,,
94030,1990/9/28,4.2,9.25,5.1,11.8,6.7,17.3,48.4,68.3,58.35,,,,
94030,1990/9/29,0,8.65,14.7,16,1.3,21.1,37.4,100,68.7,,,,
94030,1990/9/30,0,11.55,15.1,19.1,4,19.4,35.3,96,65.65,,,,
94030,1990/10/1,0,12.3,8.4,16.5,8.1,4.4,46.4,80.6,63.5,,,,
94030,1990/10/2,0,10.25,9.5,15,5.5,16.3,38.7,73.1,55.9,,,,
94030,1990/10/3,1.2,12.45,12.9,18.9,6,22.1,41.7,97.4,69.55,,,,
94030,1990/10/4,0,11.45,11.7,17.3,5.6,18.9,48.6,100,74.3,,,,
94030,1990/10/5,2.2,8.9,2.6,10.2,7.6,3.5,71.6,85.3,78.45,,,,
94030,1990/10/6,1,8.85,8.5,13.1,4.6,15.5,46.5,82.6,64.55,,,,
94030,1990/10/7,0,10.7,12.4,16.9,4.5,22.6,39.5,90.3,64.9,,,,
94030,1990/10/8,0,9.35,12.9,15.8,2.9,16,44,100,72,,,,
94030,1990/10/9,0,11.65,10.5,16.9,6.4,18.3,44.2,88.5,66.35,,,,
94030,1990/10/10,0,13.65,8.9,18.1,9.2,13,44.8,80,62.4,,,,
94030,1990/10/11,0.2,8.35,6.3,11.5,5.2,8.8,58.3,89.4,73.85,,,,
94030,1990/10/12,0.2,9,8.4,13.2,4.8,18.1,44.2,77.9,61.05,,,,
94030,1990/10/13,0,8.85,10.5,14.1,3.6,23,51.6,100,75.8,,,,
94030,1990/10/14,0,10.6,13.8,17.5,3.7,24.6,47.5,100,73.75,,,,
94030,1990/10/15,0,12.35,10.1,17.4,7.3,18.8,44.8,87.1,65.95,,,,
94030,1990/10/16,2.2,13.25,6.3,16.4,10.1,8.7,68.1,100,84.05,,,,
94030,1990/10/17,16.2,14.1,7.2,17.7,10.5,12.4,53.8,85.9,69.85,,,,
94030,1990/10/18,6.2,15,15.2,22.6,7.4,20.8,33.6,89.4,61.5,,,,
94030,1990/10/19,8.8,11.95,2.7,13.3,10.6,6,76.7,91.6,84.15,,,,
94030,1990/10/20,2.8,9.7,7.4,13.4,6,17.9,52.1,85.6,68.85,,,,
94030,1990/10/21,0.4,9.9,9.2,14.5,5.3,5.8,59.4,100,79.7,,,,
94030,1990/10/22,0,12.1,7.8,16,8.2,18.3,55.6,92.9,74.25,,,,
94030,1990/10/23,0,13.85,9.7,18.7,9,24.4,58,100,79,,,,
