station,date,rain,avg_temp,delta_temp,max_temp,min_temp,radiation,max_trh,min_trh,avg_trh,metadata,
40458,1990/5/24,2.2,18.3,4.8,20.7,15.9,10.1,50.8,68.7,59.75,,
40458,1990/5/25,0,14.15,4.7,16.5,11.8,6.5,61.8,83.9,72.85,,
40458,1990/5/26,0,14.8,4.2,16.9,12.7,2.4,62.9,82.4,72.65,,
40458,1990/5/27,20.6,15.85,3.9,17.8,13.9,1.7,88.4,100,94.2,,
40458,1990/5/28,68.6,18.45,7.5,22.2,14.7,13.2,63.5,100,81.75,,
40458,1990/5/29,0,18.3,11.6,24.1,12.5,14.1,53,100,76.5,,
40458,1990/5/30,0,18.6,9.8,23.5,13.7,11.3,61.5,100,80.75,,
40458,1990/5/31,0,19.35,12.1,25.4,13.3,14.8,56.7,100,78.35,,
40458,1990/6/1,0,16.95,9.3,21.6,12.3,14.5,54.7,98.6,76.65,,
40458,1990/6/2,0,14.35,10.9,19.8,8.9,14.3,47.7,96.5,72.1,,
40458,1990/6/3,0,14.15,9.7,19,9.3,15.1,41.4,77.7,59.55,,
40458,1990/6/4,0,14.85,12.3,21,8.7,14.9,45.9,100,72.95,,
40458,1990/6/5,0,16.05,9.1,20.6,11.5,9.9,59.4,100,79.7,,
40458,1990/6/6,26.4,15.5,4.4,17.7,13.3,3.1,80,100,90,,
40458,1990/6/7,32.8,17,4.6,19.3,14.7,4.7,75.5,100,87.75,,
40458,1990/6/8,22.4,17.95,6.9,21.4,14.5,10.7,58.9,90.9,74.9,,
40458,1990/6/9,7.8,17.7,7.6,21.5,13.9,13.4,53.4,86.3,69.85,,
40458,1990/6/10,0,17.25,8.7,21.6,12.9,12.7,55.8,96.8,76.3,,
40458,1990/6/11,0,16.65,8.7,21,12.3,12.9,59.1,100,79.55,,
40458,1990/6/12,0.6,16,10.2,21.1,10.9,13,56.8,100,78.4,,
40458,1990/6/13,0,17.5,8.2,21.6,13.4,10.7,58.5,98.3,78.4,,
40458,1990/6/14,0,15.95,9.9,20.9,11,13.2,62.3,100,81.15,,
40458,1990/6/15,0,15.95,11.1,21.5,10.4,13.4,53.4,100,76.7,,
40458,1990/6/16,2,17,8,21,13,10.8,60.3,100,80.15,,
40458,1990/6/17,3.8,18.05,10.7,23.4,12.7,12.6,57,100,78.5,,
40458,1990/6/18,7.4,15.15,9.1,19.7,10.6,13.5,60.2,100,80.1,,
40458,1990/6/19,0,14.7,5.6,17.5,11.9,9.4,56.5,81.2,68.85,,
40458,1990/6/20,0,15.5,9.2,20.1,10.9,12.2,52.7,95.2,73.95,,
40458,1990/6/21,0,16.15,9.9,21.1,11.2,13,52.4,98.5,75.45,,
40458,1990/6/22,0,14.55,13.9,21.5,7.6,13.3,46.4,100,73.2,,
40458,1990/6/23,0,14.95,9.9,19.9,10,9.8,55.1,100,77.55,,
40458,1990/6/24,0,15.8,11.2,21.4,10.2,11.6,56.9,100,78.45,,
40458,1990/6/25,0.2,16.1,6.6,19.4,12.8,7.8,77.3,100,88.65,,
40458,1990/6/26,1.4,11.1,10,16.1,6.1,15.1,49.2,95.6,72.4,,
40458,1990/6/27,0,11.3,11.4,17,5.6,13.7,40.3,85.8,63.05,,
40458,1990/6/28,0,11.8,10.8,17.2,6.4,13.8,40.3,82.2,61.25,,
40458,1990/6/29,0,9.7,13.2,16.3,3.1,13.9,31.3,76,53.65,,
40458,1990/6/30,0,11.9,12,17.9,5.9,8.6,41,90.5,65.75,,
40458,1990/7/1,0,15.9,13.4,22.6,9.2,11.1,49.3,100,74.65,,
40458,1990/7/2,0,13.6,7,17.1,10.1,13.8,36.9,58.3,47.6,,
40458,1990/7/3,0,13.2,7.6,17,9.4,13.9,39.2,64.5,51.85,,
40458,1990/7/4,0,12.75,9.7,17.6,7.9,13.8,39.3,74.2,56.75,,
40458,1990/7/5,0,12.25,13.1,18.8,5.7,15.3,40.1,95,67.55,,
40458,1990/7/6,0,13.3,12.4,19.5,7.1,13.6,43.7,98.2,70.95,,
40458,1990/7/7,0,10.95,14.1,18,3.9,15.3,34.9,89.2,62.05,,
40458,1990/7/8,0,11.85,16.3,20,3.7,13.8,36.4,100,68.2,,
40458,1990/7/9,0,13.2,15.2,20.8,5.6,13.5,41.1,100,70.55,,
40458,1990/7/10,0,13.5,14.8,20.9,6.1,13.5,37.6,98.8,68.2,,
40458,1990/7/11,0,14.7,11,20.2,9.2,13.6,53.7,100,76.85,,
40458,1990/7/12,0,14.65,10.7,20,9.3,13.3,55.2,100,77.6,,
40458,1990/7/13,0,15.95,9.7,20.8,11.1,11.8,60.7,100,80.35,,
40458,1990/7/14,0,15.45,11.5,21.2,9.7,13.7,54,100,77,,
40458,1990/7/15,0,15.4,11.2,21,9.8,8.9,53.5,100,76.75,,
40458,1990/7/16,7,16.55,8.7,20.9,12.2,13.5,66.4,100,83.2,,
40458,1990/7/17,0,16.25,12.5,22.5,10,14,54,100,77,,
40458,1990/7/18,0,16,11.8,21.9,10.1,13,56.3,100,78.15,,
40458,1990/7/19,0,14.85,10.3,20,9.7,14.8,42.4,82.3,62.35,,
40458,1990/7/20,0,14.05,11.7,19.9,8.2,14.8,39.6,84.7,62.15,,
40458,1990/7/21,0,13.55,15.3,21.2,5.9,14.7,47.7,100,73.85,,
40458,1990/7/22,0,14.5,15.8,22.4,6.6,14.7,43.9,100,71.95,,
40458,1990/7/23,0,16.6,12.6,22.9,10.3,14.5,52.7,100,76.35,,
40458,1990/7/24,0,17.1,11.4,22.8,11.4,14.4,64.2,100,82.1,,
40458,1990/7/25,0,17.65,13.1,24.2,11.1,14.7,57.3,100,78.65,,
40458,1990/7/26,0,17.8,12.4,24,11.6,14.4,60,100,80,,
40458,1990/7/27,0,19.9,10.2,25,14.8,9.4,59.7,100,79.85,,
40458,1990/7/28,0.6,13.65,11.7,19.5,7.8,15.5,33.5,71.9,52.7,,
40458,1990/7/29,0,14.55,11.7,20.4,8.7,15.3,38.8,82.7,60.75,,
40458,1990/7/30,8.4,12.35,3.1,13.9,10.8,2.5,80.6,98.9,89.75,,
40458,1990/7/31,21.8,13.95,5.9,16.9,11,7.4,72.2,100,86.1,,
40458,1990/8/1,0.4,14.4,8.8,18.8,10,15.5,55.3,97.8,76.55,,
40458,1990/8/2,0.8,12.05,4.5,14.3,9.8,2.6,73.7,99.1,86.4,,
40458,1990/8/3,2.2,10.75,11.3,16.4,5.1,10.8,52,100,76,,
40458,1990/8/4,0,16.05,10.9,21.5,10.6,14.6,39.4,79.1,59.25,,
40458,1990/8/5,0,17.9,11.2,23.5,12.3,13.4,38.3,77.6,57.95,,
40458,1990/8/6,0,17.75,7.3,21.4,14.1,17.9,32.6,51.6,42.1,,
40458,1990/8/7,0,15.45,10.5,20.7,10.2,16.8,35.7,70,52.85,,
40458,1990/8/8,0,13.6,11.6,19.4,7.8,13.7,48,100,74,,
40458,1990/8/9,0,14.95,12.9,21.4,8.5,6.4,43.2,99.2,71.2,,
40458,1990/8/10,4.6,15.5,6.8,18.9,12.1,16.3,53.1,82.2,67.65,,
40458,1990/8/11,0,12.85,11.9,18.8,6.9,17.3,30.4,66.4,48.4,,
40458,1990/8/12,0,12.2,16.2,20.3,4.1,17.5,33.6,97.7,65.65,,
40458,1990/8/13,0,14.1,18,23.1,5.1,17.8,38.2,100,69.1,,
40458,1990/8/14,0,15.6,14.2,22.7,8.5,17,37.7,93.8,65.75,,
40458,1990/8/15,0.8,17.15,17.3,25.8,8.5,17.5,50.6,100,75.3,,
40458,1990/8/16,2.4,15.55,9.5,20.3,10.8,19.3,47.9,88.1,68,,
40458,1990/8/17,0,14.65,11.3,20.3,9,19.7,50,100,75,,
40458,1990/8/18,0,13.4,11.6,19.2,7.6,19.9,33.7,71.9,52.8,,
40458,1990/8/19,0,13.6,13.2,20.2,7,19.6,40.1,94.9,67.5,,
40458,1990/8/20,0,14.05,15.5,21.8,6.3,16.4,45.6,100,72.8,,
40458,1990/8/21,0,16.05,12.7,22.4,9.7,20.2,30.3,68.2,49.25,,
40458,1990/8/22,0,15.65,9.7,20.5,10.8,19,32.8,61,46.9,,
40458,1990/8/23,0,14.7,7.8,18.6,10.8,19.3,34.5,57.2,45.85,,
40458,1990/8/24,0,13.35,14.3,20.5,6.2,19.6,25.7,65.4,45.55,,
40458,1990/8/25,0,14.55,12.7,20.9,8.2,19.5,27.9,63.5,45.7,,
40458,1990/8/26,0,13.95,12.3,20.1,7.8,18.4,31,69,50,,
40458,1990/8/27,0,14,13.4,20.7,7.3,19.3,33.6,80.2,56.9,,
40458,1990/8/28,0,14.15,12.1,20.2,8.1,18.3,42.3,92.6,67.45,,
40458,1990/8/29,0,14.85,12.9,21.3,8.4,17.4,52.9,100,76.45,,
40458,1990/8/30,0,16.05,12.3,22.2,9.9,16.6,55.7,100,77.85,,
40458,1990/8/31,0.8,16.9,7.4,20.6,13.2,6.5,66,100,83,,
40458,1990/9/1,4,18.55,8.7,22.9,14.2,17.1,54.8,94.5,74.65,,
40458,1990/9/2,0,15.6,13.2,22.2,9,20.7,34.4,80.2,57.3,,
40458,1990/9/3,0,16.55,13.7,23.4,9.7,21,32.7,78.2,55.45,,
40458,1990/9/4,0,16.45,11.3,22.1,10.8,21.2,30.1,61.8,45.95,,
40458,1990/9/5,0,14.3,15.2,21.9,6.7,21.2,33.1,88.7,60.9,,
40458,1990/9/6,0,14.35,16.5,22.6,6.1,20.9,36.5,100,68.25,,
40458,1990/9/7,0,15.75,14.9,23.2,8.3,21.2,44,100,72,,
40458,1990/9/8,0,16.65,11.3,22.3,11,21.1,51.3,100,75.65,,
40458,1990/9/9,0,17.05,9.5,21.8,12.3,19.9,50.2,91.6,70.9,,
40458,1990/9/10,0,16.3,8.8,20.7,11.9,16.8,62.3,100,81.15,,
40458,1990/9/11,0,15.2,9.8,20.1,10.3,14.7,60,100,80,,
40458,1990/9/12,0.4,14.95,12.5,21.2,8.7,19.7,50.5,100,75.25,,
40458,1990/9/13,4.6,16.95,9.5,21.7,12.2,14.7,59.3,100,79.65,,
40458,1990/9/14,0.4,14.75,8.7,19.1,10.4,22,43.9,77,60.45,,
40458,1990/9/15,0,17.5,10.6,22.8,12.2,12,42.5,83.1,62.8,,
40458,1990/9/16,0,18.05,8.3,22.2,13.9,20.2,41.5,69.9,55.7,,
40458,1990/9/17,0,16.45,10.3,21.6,11.3,21.7,48.9,94.2,71.55,,
40458,1990/9/18,0,15.1,10.2,20.2,10,16.7,56.6,100,78.3,,
40458,1990/9/19,1,15.35,12.7,21.7,9,22.5,46.2,100,73.1,,
40458,1990/9/20,0,15.8,13.4,22.5,9.1,21.3,56.2,100,78.1,,
40458,1990/9/21,0,17.3,13.4,24,10.6,23.8,49.3,100,74.65,,
40458,1990/9/22,0,19.2,12,25.2,13.2,23,50.5,100,75.25,,
40458,1990/9/23,0,19.05,12.5,25.3,12.8,21.7,52.1,100,76.05,,
40458,1990/9/24,2.2,19.55,10.3,24.7,14.4,22.7,59.2,100,79.6,,
40458,1990/9/25,0,19.55,11.3,25.2,13.9,22.2,56.5,100,78.25,,
40458,1990/9/26,0,20.2,9.8,25.1,15.3,22.7,57.8,100,78.9,,
40458,1990/9/27,0,20.25,8.5,24.5,16,17.4,63.1,100,81.55,,
40458,1990/9/28,0,18.95,8.1,23,14.9,20.2,48.1,79.7,63.9,,
40458,1990/9/29,0,19.05,7.5,22.8,15.3,19.4,51.5,82.3,66.9,,
40458,1990/9/30,0,17.6,10.2,22.7,12.5,23,50,95.3,72.65,,
40458,1990/10/1,0.2,18.1,9.2,22.7,13.5,18.8,58.7,100,79.35,,
40458,1990/10/2,0.9,18.75,10.7,24.1,13.4,20.6,55.3,100,77.65,,
40458,1990/10/3,0.9,18.4,11,23.9,12.9,23.9,54.6,100,77.3,,
40458,1990/10/4,0,19.1,11.2,24.7,13.5,23.5,58.8,100,79.4,,
40458,1990/10/5,0,21,12,27,15,24.8,55,100,77.5,,
40458,1990/10/6,0,23.7,12.6,30,17.4,22.1,42.9,91.6,67.25,,
40458,1990/10/7,0,19.05,5.3,21.7,16.4,6.8,59,82.1,70.55,,
40458,1990/10/8,1,19.05,8.9,23.5,14.6,18.1,53.9,93.9,73.9,,
40458,1990/10/9,4.8,20.2,7.6,24,16.4,9.8,63,100,81.5,,
40458,1990/10/10,1.8,22.35,9.9,27.3,17.4,24.1,63.9,100,81.95,,
40458,1990/10/11,0,24.35,8.7,28.7,20,24.8,58.9,99.3,79.1,,
40458,1990/10/12,0,25.4,10,30.4,20.4,26.6,28.6,51.8,40.2,,
40458,1990/10/13,0,21.05,12.7,27.4,14.7,27.9,24.4,53.2,38.8,,
40458,1990/10/14,0,19.1,8.4,23.3,14.9,25.9,40.9,69.1,55,,
40458,1990/10/15,0,20.65,6.9,24.1,17.2,20.2,50.3,77,63.65,,
40458,1990/10/16,0,21.55,11.7,27.4,15.7,20.2,49.6,100,74.8,,
40458,1990/10/17,9,22.25,12.1,28.3,16.2,27.2,51.2,100,75.6,,
40458,1990/10/18,0,21.85,9.7,26.7,17,21.9,63.1,100,81.55,,
40458,1990/10/19,0,23.3,7,26.8,19.8,20.2,65.9,100,82.95,,
40458,1990/10/20,10.4,22.9,6.2,26,19.8,11.1,69.3,100,84.65,,
40458,1990/10/21,0,19.3,11.2,24.9,13.7,26.1,52.1,100,76.05,,
40458,1990/10/22,0,19.6,13.2,26.2,13,27.2,32.3,73.5,52.9,,
40458,1990/10/23,0,18.65,12.7,25,12.3,26.4,27.5,60.9,44.2,,
40458,1990/10/24,0,18.8,13.6,25.6,12,28.2,34.1,79.9,57,,
40458,1990/10/25,0,19.75,11.9,25.7,13.8,25.2,41.2,86.2,63.7,,
40458,1990/10/26,0,20.65,11.7,26.5,14.8,26.3,42.5,87.4,64.95,,
40458,1990/10/27,0,20.85,9.3,25.5,16.2,23.6,49.3,87.5,68.4,,
40458,1990/10/28,0,20.65,10.7,26,15.3,29,51.8,100,75.9,,
40458,1990/10/29,0,20.45,10.7,25.8,15.1,28.5,52.7,100,76.35,,
40458,1990/10/30,0,21.15,11.3,26.8,15.5,26.5,51.7,100,75.85,,
40458,1990/10/31,0,21.1,11.8,27,15.2,26.4,51.6,100,75.8,,
40458,1990/11/1,0,22.8,10.4,28,17.6,28.4,54.8,100,77.4,,
40458,1990/11/2,0,24.95,11.1,30.5,19.4,24.8,48.6,94.2,71.4,,
40458,1990/11/3,0,24.1,7.2,27.7,20.5,20.9,57.1,88,72.55,,
40458,1990/11/4,2.8,23.4,8.6,27.7,19.1,18.4,63.5,100,81.75,,
40458,1990/11/5,21.6,21.75,7.1,25.3,18.2,24.9,58.9,91,74.95,,
40458,1990/11/6,1.4,20.95,7.9,24.9,17,27.3,54.3,88.3,71.3,,
40458,1990/11/7,0,20.4,7.8,24.3,16.5,19.7,67.2,100,83.6,,
